"","name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","Country","cook_category","prep_category"
"25","Sohan papdi","Gram flour, ghee, sugar, milk, cardamom","vegetarian",-1,60,"sweet","dessert","Maharashtra","West","India","Very High","Very Low"
"26","Chikki","Peanuts, jaggery","vegetarian",10,20,"sweet","dessert","Maharashtra","West","India","Low","Very Low"
"27","Anarsa","Rice flour, jaggery, khus-khus seeds","vegetarian",10,50,"sweet","dessert","Maharashtra","West","India","Very High","Very Low"
"28","Dhondas","Cucumber, rava","vegetarian",10,50,"sweet","dessert","Maharashtra","West","India","Very High","Very Low"
"29","Mahim halwa","Semolina, sugar","vegetarian",10,25,"sweet","dessert","Maharashtra","West","India","Low","Very Low"
"30","Modak","Rice flour, coconut, jaggery","vegetarian",10,15,"sweet","dessert","Maharashtra","West","India","Very Low","Very Low"
"31","Shankarpali","Sugar, ghee, maida flour, semolina","vegetarian",10,35,"sweet","dessert","Maharashtra","West","India","Medium","Very Low"
"32","Sutar feni","Maida, sugar, ghee","vegetarian",15,55,"sweet","dessert","Maharashtra","West","India","Very High","Very Low"
"33","Coconut vadi","Condensed milk, mawa, desiccated coconut, almonds, cashews","vegetarian",20,30,"sweet","dessert","Maharashtra","West","India","Medium","Low"
"34","Sukhdi","Whole wheat flour, gur, clarified butter","vegetarian",10,20,"sweet","dessert","Maharashtra","West","India","Low","Very Low"
"35","Basundi","Sugar, milk, nuts","vegetarian",10,35,"sweet","dessert","Gujarat","West","India","Medium","Very Low"
"36","Doodhpak","Milk, rice, sugar, dry fruits","vegetarian",10,60,"sweet","dessert","Gujarat","West","India","Very High","Very Low"
"37","Dudhi halwa","Bottle gourd, green, raisins, sugar, clarified butter","vegetarian",15,30,"sweet","dessert","Gujarat","West","India","Medium","Very Low"
"38","Gud papdi","Wheat flour, jaggery, clarified butter, sliced almonds","vegetarian",10,20,"sweet","dessert","Gujarat","West","India","Low","Very Low"
"39","Halvasan","Whole wheat rava, chia seed, lemon, edible gum, litre milk","vegetarian",-1,-1,"sweet","dessert","Gujarat","West","India","Very Low","Very Low"
"40","Mohanthal","Rose water, pistachio, badam, bengal gram flour, saffron","vegetarian",5,45,"sweet","dessert","Gujarat","West","India","High","Very Low"
"41","Ariselu","Rice flour, jaggery, ghee","vegetarian",15,75,"sweet","dessert","Andhra Pradesh","South","India","Very High","Very Low"
"42","Bandar laddu","Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar","vegetarian",5,35,"sweet","dessert","Andhra Pradesh","South","India","Medium","Very Low"
"43","Gavvalu","Rice flour, sugar, salt, ghee, semolina","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South","India","Medium","Very Low"
"44","Kakinada khaja","Wheat flour, sugar","vegetarian",10,30,"sweet","dessert","Andhra Pradesh","South","India","Medium","Very Low"
"45","Palathalikalu","Rice flour, milk","vegetarian",10,25,"sweet","dessert","Andhra Pradesh","South","India","Low","Very Low"
"46","Poornalu","Chana dal, jaggery","vegetarian",240,60,"sweet","dessert","Andhra Pradesh","South","India","Very High","Very High"
"47","Pootharekulu","Rice flour, powdered sugar, ghee","vegetarian",10,60,"sweet","dessert","Andhra Pradesh","South","India","Very High","Very Low"
"48","Kajjikaya","Rice flour, jaggery, coconut","vegetarian",40,15,"sweet","dessert","Andhra Pradesh","South","India","Very Low","High"
"49","Besan Laddu","Gram flour, ghee, sugar","vegetarian",10,40,"sweet","dessert","Andhra Pradesh","South","India","High","Very Low"
