"","name","ingredients","diet","prep_time","cook_time","flavor_profile","course","state","region","Country","cook_category","prep_category"
"42","Paneer tikka masala","Paneer, greek yogurt, tandoori masala, cream, bell pepper","vegetarian",20,40,"spicy","main course","Punjab","North","India","High","Low"
"43","Paratha","Wheat flour, butter, potato, coriander","vegetarian",15,45,"spicy","main course","Punjab","North","India","High","Very Low"
"44","Pindi chana","Fennel, tea bags, tomato, kasuri methi, cinnamon","vegetarian",500,120,"spicy","main course","Punjab","North","India","Very High","Very High"
"45","Rongi","Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil","vegetarian",10,30,"-1","main course","Punjab","North","India","Medium","Very Low"
"46","Shahi paneer","Cottage cheese, malai, garam masala, ginger, tomato","vegetarian",20,40,"spicy","main course","Punjab","North","India","High","Low"
"47","Vegetable jalfrezi","Baby corn, french beans, garam masala, ginger, carrot","vegetarian",10,30,"spicy","main course","Punjab","North","India","Medium","Very Low"
"48","Tandoori Chicken","Greek yogurt, garam masala, kasuri methi, marinade, mustard oil","non vegetarian",240,30,"spicy","main course","Punjab","North","India","Medium","Very High"
"49","Rajma chaval","Red kidney beans, garam masala powder, ginger, tomato, mustard oil","vegetarian",15,90,"spicy","main course","Punjab","North","India","Very High","Very Low"
"50","Chapati","Whole wheat flour, olive oil, hot water, all purpose flour","vegetarian",10,10,"-1","main course","Maharashtra","West","India","Very Low","Very Low"
"51","Amti","Kala masala, arhar dal, curry leaves, mustard seeds, hot water","vegetarian",10,45,"spicy","main course","Maharashtra","West","India","High","Very Low"
"52","Zunka","Gram flour, mustard, garlic, turmeric, red chilli","vegetarian",10,25,"spicy","main course","Maharashtra","West","India","Low","Very Low"
"53","Kolim Jawla","Baingan, fish, coconut oil, fresh coconut, ginger","non vegetarian",-1,-1,"spicy","main course","Maharashtra","West","India","Very Low","Very Low"
"54","Bhakri","Jowar flour, sesame seeds","vegetarian",20,25,"-1","main course","Maharashtra","West","India","Low","Low"
"55","Bombil fry","Bombay duck, malvani masala, rice flour, bombay rava, green chilies","non vegetarian",-1,-1,"spicy","main course","Maharashtra","West","India","Very Low","Very Low"
"56","Dalithoy","Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli","vegetarian",5,20,"-1","main course","Maharashtra","West","India","Low","Very Low"
"57","Koshimbir","Cucumber, carrot, tomatoes, cilantro","vegetarian",10,10,"spicy","main course","Maharashtra","West","India","Very Low","Very Low"
"58","Pav Bhaji","Pav bhaji masala, gobi, potatoes, green peas, dinner rolls","vegetarian",20,40,"spicy","main course","Maharashtra","West","India","High","Low"
"59","Puri Bhaji","Aloo, urad dal, mustard, ginger, curry leaves","vegetarian",10,30,"spicy","main course","Maharashtra","West","India","Medium","Very Low"
"60","Thalipeeth","Whole wheat flour, rice flour, pearl millet flour, sorghum flour, sesame seeds","vegetarian",25,30,"spicy","main course","Maharashtra","West","India","Medium","Low"
"61","Veg Kolhapuri","Gobi, potato, beans, khus khus, coconut","vegetarian",20,30,"spicy","main course","Maharashtra","West","India","Medium","Low"
"62","Saath","Urad dal, potatoes, wheat flour, sooji","vegetarian",20,40,"spicy","main course","Gujarat","West","India","High","Low"
"63","Bajri no rotlo","Wheat flour, pearl millet flour, hot water","vegetarian",10,10,"spicy","main course","Gujarat","West","India","Very Low","Very Low"
"64","Copra paak","Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut","vegetarian",20,30,"-1","main course","Gujarat","West","India","Medium","Low"
"65","Daal Dhokli","Whole wheat flour, dal, kokum, gur, bengal gram flour","vegetarian",20,30,"spicy","main course","Gujarat","West","India","Medium","Low"
"66","Jeera Aloo","Green chilies, lemon juice, chili powder, boiled potatoes","vegetarian",10,30,"spicy","main course","Gujarat","West","India","Medium","Very Low"
"67","Kansar","Wheat flour, cashews, rapeseed oil","vegetarian",10,40,"-1","main course","Gujarat","West","India","High","Very Low"
"68","Keri no ras","Mango, sugar","vegetarian",10,10,"sour","main course","Gujarat","West","India","Very Low","Very Low"
"69","Methi na Gota","Rava, gram flour, lemon juice, turmeric, fenugreek leaves","vegetarian",15,30,"bitter","main course","Gujarat","West","India","Medium","Very Low"
"70","Sev khamani","Khaman, pomegranate, sev, powdered sugar, garlic","vegetarian",20,30,"spicy","main course","Gujarat","West","India","Medium","Low"
"71","Sev tameta","Sev, ginger, tomato, sugar","vegetarian",20,30,"spicy","main course","Gujarat","West","India","Medium","Low"
"72","Undhiyu","Sweet potato, surti papdi, baby potatoes, valor papdi, green peas","vegetarian",25,60,"spicy","main course","Gujarat","West","India","Very High","Low"
"73","Turiya Patra Vatana sabji","Ridge gourd, baking soda, sugar, grated coconut, peas","vegetarian",35,40,"spicy","main course","Gujarat","West","India","High","Medium"
"74","Maach Jhol","Fish, potol, tomato, chillies, ginger, garlic","non vegetarian",10,40,"spicy","main course","Assam","North East","India","High","Very Low"
"75","Khar","Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds","vegetarian",10,20,"-1","main course","Assam","North East","India","Low","Very Low"
"76","Kumol Sawul","Rice, eggs, carrot, beetroot","non vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"77","Alu Pitika","Potatoes, mustard oil, fish, green chillies","non vegetarian",5,20,"spicy","main course","Assam","North East","India","Low","Very Low"
"78","Masor tenga","Ridge gourd, fish, lemon, tomatoes, mustard oil","non vegetarian",15,25,"spicy","main course","Assam","North East","India","Low","Very Low"
"79","Bengena Pitika","Brinjal, onions, salt, sesame seeds, coriander","vegetarian",-1,-1,"-1","main course","Assam","North East","India","Very Low","Very Low"
"80","Bilahi Maas","Potatoes, garam masala, tomatoes, mustard oil, bay leaf","non vegetarian",10,20,"-1","main course","Assam","North East","India","Low","Very Low"
"81","Bora Sawul","Biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds","vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"82","Haq Maas","Lamb, garam masala powder, curd, turmeric, bay leaf","non vegetarian",20,40,"spicy","main course","Assam","North East","India","High","Low"
"83","Khorisa","Fermented bamboo shoot, potato, ginger, green, mustard oil","vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"84","Koldil Chicken","Banana flower, chicken, green chili, mustard oil, lemon juice","non vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"85","Konir Dom","Aloo, tomatoes, mustard oil, bay leaf, cinnamon stick","non vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"86","Koldil Duck","Rice flour, mutton, banana, gram flour, olive oil, baking powder","non vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"87","Masor Koni","Fish roe, pumpkin flowers, mustard oil, turmeric, tomato","non vegetarian",-1,-1,"spicy","main course","Assam","North East","India","Very Low","Very Low"
"88","Pani Pitha","Tea leaves, white sesame seeds, dry coconut, soaked rice","vegetarian",10,20,"-1","main course","Assam","North East","India","Low","Very Low"
